Rank,Player,ATT,Rush Yds,Y/A,LG,20+,Rush TD,REC,TGT,Rec Yds,Y/R,Rec TD,FL,G,FPTS,FPTS/G,ROST,team_abbr,team_name,year,week,Score,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,Team Name
273,Jonathan Taylor,13,59,4.5,16,0,1,1,1,3,3.0,0,0,1,12.2,12.2,98.3%,IND,indianapolis_colts,2020,3,35.12,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,Indianapolis Colts
272,Kareem Hunt,16,46,2.9,11,0,0,2,3,18,9.0,1,0,1,12.4,12.4,30.4%,KC,kansas_city_chiefs,2020,3,29.14,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Kansas City Chiefs
271,Clyde Edwards-Helaire,20,64,3.2,16,0,0,5,6,70,14.0,0,0,1,13.4,13.4,3.2%,NO,new_orleans_saints,2020,3,38.48,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,New Orleans Saints
379,Michael Burton,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,DEN,denver_broncos,2020,3,0.0,Raymond James Stadium,Outdoor,Grass,26.0,1998.0,Tampa,FL,27.9759,-82.5033,Denver Broncos
358,Patrick Ricard,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.8%,BAL,baltimore_ravens,2020,3,0.0,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Baltimore Ravens
266,Aaron Jones Sr.,16,69,4.3,19,0,1,2,4,17,8.5,0,0,1,14.6,14.6,90.3%,MIN,minnesota_vikings,2020,3,41.2,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Minnesota Vikings
380,Tony Pollard,0,0,0.0,0,0,0,1,1,-5,-5.0,0,0,1,-0.5,-0.5,88.8%,TEN,tennessee_titans,2020,3,-0.15,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Tennessee Titans
355,Cordarrelle Patterson,4,13,3.3,6,0,0,0,0,0,0.0,0,0,1,0.0,0.0,1.0%,PIT,pittsburgh_steelers,2020,3,6.75,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Pittsburgh Steelers
351,Rico Dowdle,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,41.4%,CAR,carolina_panthers,2020,3,0.0,Bank of America Stadium,Outdoor,Grass,748.0,1996.0,Charlotte,NC,35.2258,-80.8528,Carolina Panthers
262,Austin Ekeler,12,59,4.9,12,0,1,11,11,84,7.6,0,0,1,20.3,20.3,69.3%,WAS,washington_commanders,2020,3,40.14,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,Washington Commanders
349,A.J. Dillon,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,5.6%,PHI,philadelphia_eagles,2020,3,0.0,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,Philadelphia Eagles
345,Reggie Gilliam,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,BUF,buffalo_bills,2020,3,0.0,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Buffalo Bills
337,Jeremy Mcnichols,0,0,0.0,0,0,0,1,1,5,5.0,0,0,1,0.5,0.5,0.8%,WAS,washington_commanders,2020,3,0.35,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,Washington Commanders
