Year,Week,Rank,Player,Team,FPTS,Score,Y/A,FPTS/G,FPTS,Rush_TD,FL,ATT,REC,TGT,Y/R,Rush_Yds,LG,20+,Date,Time,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
2018,1,52,Jeremy Hill,new_england_patriots,3.1,14.24,6.3,3.1,3.1,0,0,4,1,1,6.0,25,11,0,2018-09-09,1:00PM,Gillette Stadium,Foxborough,MA,42.0909,-71.2643,Outdoor,Turf,289.0,2002.0,16.6,0.0,55.080000000000005,58.0,1025.7
2018,1,53,Javorius Allen,baltimore_ravens,9.2,14.2,4.3,9.2,9.2,1,0,4,5,6,3.0,17,8,0,2018-09-09,1:00PM,M&T Bank Stadium,Baltimore,MD,39.2779,-76.6227,Outdoor,Grass,10.0,1998.0,18.0,1.8,104.4,89.0,1018.7
2018,1,54,Nyheim Miller-Hines,unknown,5.2,12.92,3.8,5.2,5.2,0,0,5,7,9,4.7,19,6,0,,,,,,,,,,,,,,,,
2018,1,55,Theo Riddick,detroit_lions,3.5,12.4,5.0,3.5,3.5,0,0,4,5,7,3.0,20,6,0,2018-09-10,7:10PM,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600.0,2002.0,17.2,0.0,42.84,81.0,1013.5
2018,1,56,Lesean Mccoy,buffalo_bills,2.1,12.22,3.1,2.1,2.1,0,0,7,1,3,-1.0,22,12,0,2018-09-09,1:00PM,M&T Bank Stadium,Baltimore,MD,39.2779,-76.6227,Outdoor,Grass,10.0,1998.0,18.0,1.8,104.4,89.0,1018.7
2018,1,57,Nick Chubb,cleveland_browns,2.1,11.85,7.0,2.1,2.1,0,0,3,0,0,0.0,21,17,0,2018-09-09,1:00PM,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577.0,1999.0,15.1,1.0,101.52,88.0,1016.5
2018,1,58,Doug Martin,unknown,1.7,11.2,5.0,1.7,1.7,0,0,4,2,2,-1.5,20,13,0,,,,,,,,,,,,,,,,
2018,1,59,Kerryon Johnson,detroit_lions,3.7,10.81,3.4,3.7,3.7,0,0,5,3,3,6.7,17,9,0,2018-09-10,7:10PM,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600.0,2002.0,17.2,0.0,42.84,81.0,1013.5
2018,1,60,Alex Collins,baltimore_ravens,5.9,10.18,1.9,5.9,5.9,1,1,7,1,1,6.0,13,8,0,2018-09-09,1:00PM,M&T Bank Stadium,Baltimore,MD,39.2779,-76.6227,Outdoor,Grass,10.0,1998.0,18.0,1.8,104.4,89.0,1018.7
2018,1,61,Duke Johnson,cleveland_browns,2.5,10.01,3.4,2.5,2.5,0,0,5,1,6,8.0,17,13,0,2018-09-09,1:00PM,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577.0,1999.0,15.1,1.0,101.52,88.0,1016.5
