Year,Week,Rank,Player,Team,FPTS,Score,FPTS/G,FPTS,FL,ATT,REC,TGT,Y/R,20+,Rec_Yds,Rec_TD,Date,Time,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
2018,1,59,Jakeem Grant,miami_dolphins,3.8,12.39,3.8,3.8,0,0,5,7,7.6,0,38,0,2018-09-09,1:00PM,Hard Rock Stadium,Miami Gardens,FL,25.958,-80.238,Outdoor,Grass,7.0,1987.0,30.2,0.2,20.16,68.0,1014.2
2018,1,60,Robert Woods,los_angeles_rams,4.3,12.24,4.3,4.3,0,1,3,9,12.3,1,37,0,2018-09-10,10:20PM,Allegiant Stadium,Las Vegas,NV,36.0908,-115.183,Indoor,Turf,2001.0,2020.0,31.0,0.0,64.8,10.0,1004.2
2018,1,61,Nelson Agholor,philadelphia_eagles,5.5,11.66,5.5,5.5,0,1,8,10,4.1,0,33,0,2018-09-06,8:20PM,Lincoln Financial Field,Philadelphia,PA,39.9008,-75.1675,Outdoor,Grass,30.0,2003.0,28.6,0.2,18.0,69.0,1019.2
2018,1,62,Jamison Crowder,unknown,3.2,10.66,3.2,3.2,0,0,3,4,10.7,0,32,0,,,,,,,,,,,,,,,,
2018,1,63,Albert Wilson,miami_dolphins,3.8,10.44,3.8,3.8,0,2,3,4,10.3,1,31,0,2018-09-09,1:00PM,Hard Rock Stadium,Miami Gardens,FL,25.958,-80.238,Outdoor,Grass,7.0,1987.0,30.2,0.2,20.16,68.0,1014.2
2018,1,64,Trent Taylor,san_francisco_49ers,2.8,9.45,2.8,2.8,0,0,4,6,7.0,0,28,0,2018-09-09,1:00PM,U.S. Bank Stadium,Minneapolis,MN,44.974,-93.2581,Indoor,Turf,840.0,2016.0,20.6,0.0,50.04,54.0,1018.6
2018,1,65,Adam Humphries,tampa_bay_buccaneers,2.7,9.25,2.7,2.7,0,0,3,5,9.0,1,27,0,2018-09-09,1:00PM,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3.0,1975.0,28.7,0.1,19.08,75.0,1011.6
2018,1,66,Deonte Thompson,buffalo_bills,2.7,9.15,2.7,2.7,0,0,3,5,9.0,0,27,0,2018-09-09,1:00PM,M&T Bank Stadium,Baltimore,MD,39.2779,-76.6227,Outdoor,Grass,10.0,1998.0,18.0,1.8,104.4,89.0,1018.7
2018,1,67,Deonte Thompson,dallas_cowboys,2.7,9.15,2.7,2.7,0,0,3,5,9.0,0,27,0,2018-09-09,4:25PM,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748.0,1996.0,28.0,0.1,42.48,71.0,1010.9
2018,1,68,Danny Amendola,miami_dolphins,2.6,8.88,2.6,2.6,0,0,4,6,6.5,0,26,0,2018-09-09,1:00PM,Hard Rock Stadium,Miami Gardens,FL,25.958,-80.238,Outdoor,Grass,7.0,1987.0,30.2,0.2,20.16,68.0,1014.2
2018,1,69,Zay Jones,buffalo_bills,2.6,8.86,2.6,2.6,0,0,3,6,8.7,0,26,0,2018-09-09,1:00PM,M&T Bank Stadium,Baltimore,MD,39.2779,-76.6227,Outdoor,Grass,10.0,1998.0,18.0,1.8,104.4,89.0,1018.7
2018,1,70,Tyler Boyd,cincinnati_bengals,2.6,8.86,2.6,2.6,0,0,3,5,8.7,0,26,0,2018-09-09,1:00PM,Lucas Oil Stadium,Indianapolis,IN,39.7601,-86.1639,Indoor,Turf,700.0,2008.0,16.9,0.1,66.96000000000001,76.0,1012.7
2018,1,71,Taylor Gabriel,chicago_bears,2.5,8.85,2.5,2.5,0,0,5,5,5.0,1,25,0,2018-09-09,8:20PM,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640.0,1957.0,13.7,0.0,24.840000000000003,79.0,1019.5
2018,1,72,Allen Hurns,dallas_cowboys,2.0,8.45,2.0,2.0,0,0,1,3,20.0,1,20,0,2018-09-09,4:25PM,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748.0,1996.0,28.0,0.1,42.48,71.0,1010.9
