city,state,stadium_name,Date,Time,latitude,longitude,timezone,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
Minneapolis,MN,U.S. Bank Stadium,2018-11-04,1:00PM,44.974,-93.2581,America/Chicago,2.9,0.5,54.0,98,1012.1
Orchard Park,NY,Highmark Stadium,2018-11-04,1:00PM,42.7738,-78.7868,America/New_York,9.5,0.0,40.68000000000001,54,1031.3
Cleveland,OH,FirstEnergy Stadium,2018-11-04,1:00PM,41.5061,-81.6995,America/New_York,12.0,0.0,83.52,53,1026.6
Denver,CO,Empower Field at Mile High,2018-11-04,4:05PM,39.7439,-105.0201,America/Denver,10.7,0.0,6.48,45,1001.1
Seattle,WA,Lumen Field,2018-11-04,4:05PM,47.5952,-122.3316,America/Los_Angeles,13.3,0.0,41.04,88,1014.7
New Orleans,LA,Caesars Superdome,2018-11-04,4:25PM,29.9509,-90.0815,America/Chicago,23.7,0.0,72.72,71,1015.4
Foxborough,MA,Gillette Stadium,2018-11-04,8:20PM,42.0909,-71.2643,America/New_York,5.9,0.0,28.8,72,1033.8
Arlington,TX,AT&T Stadium,2018-11-05,8:15PM,32.7473,-97.0945,America/Chicago,20.4,0.0,48.24,67,1007.8
Pittsburgh,PA,Acrisure Stadium,2018-11-08,8:20PM,40.4468,-80.0158,America/New_York,4.1,0.0,24.12,77,1028.1
Cleveland,OH,FirstEnergy Stadium,2018-11-11,1:00PM,41.5061,-81.6995,America/New_York,3.1,0.0,58.32,55,1028.3
Chicago,IL,Soldier Field,2018-11-11,1:00PM,41.8623,-87.6167,America/Chicago,3.2,0.0,77.03999999999999,55,1024.8
Miami Gardens,FL,Hard Rock Stadium,2018-11-04,1:00PM,25.958,-80.238,America/New_York,27.8,0.2,55.800000000000004,77,1019.8
Indianapolis,IN,Lucas Oil Stadium,2018-11-11,1:00PM,39.7601,-86.1639,America/Indiana/Indianapolis,3.1,0.0,44.28,48,1028.4
Cincinnati,OH,Paycor Stadium,2018-11-11,1:00PM,39.0954,-84.516,America/New_York,3.7,0.0,32.4,44,1029.0
Kansas City,MO,GEHA Field at Arrowhead Stadium,2018-11-11,1:00PM,39.049,-94.4839,America/Chicago,6.4,0.0,10.08,55,1025.0
Tampa,FL,Raymond James Stadium,2018-11-11,1:00PM,27.9759,-82.5033,America/New_York,27.1,0.0,37.800000000000004,61,1020.2
East Rutherford,NJ,MetLife Stadium,2018-11-11,1:00PM,40.8136,-74.0744,America/New_York,6.7,0.0,62.63999999999999,44,1027.6
Nashville,TN,Nissan Stadium,2018-11-11,1:00PM,36.1665,-86.7713,America/Chicago,9.1,0.0,9.360000000000001,59,1026.3
Las Vegas,NV,Allegiant Stadium,2018-11-11,4:05PM,36.0908,-115.183,America/Los_Angeles,14.7,0.0,79.56,11,1022.6
Green Bay,WI,Lambeau Field,2018-11-11,4:25PM,44.5013,-88.0622,America/Chicago,1.3,0.0,31.680000000000003,61,1021.3
Inglewood,CA,SoFi Stadium,2018-11-11,4:25PM,33.9535,-118.3392,America/Los_Angeles,20.9,0.0,50.76,29,1017.2
Philadelphia,PA,Lincoln Financial Field,2018-11-11,8:20PM,39.9008,-75.1675,America/New_York,2.7,0.0,33.12,80,1028.9
Santa Clara,CA,Levi's Stadium,2018-11-12,8:15PM,37.403,-121.9692,America/Los_Angeles,15.7,0.0,18.720000000000002,49,1026.6
