year,week,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game,yds,td
2026.0,18,85bf4f954f442f4e2cdc0cd466e3c06e,CeeDee Lamb,DAL,WR,14.0,125.9,200.9,8.99,14.4,1077.0,3.0
2026.0,18,4b3e40f9a26f70a3b68e313eb420b06b,Emeka Egbuka,TB,WR,17.0,132.7,195.7,7.81,11.5,938.0,6.0
2026.0,18,6a8106a280b0cfe1bd26296e3c4f8633,Jaylen Waddle,DEN,WR,16.0,130.1,194.1,8.13,12.1,910.0,6.0
2026.0,18,3fbeb7dccbc0b6603d6009caa2c51324,Deebo Samuel Sr.,FA,WR,16.0,116.19999999999999,188.2,7.26,11.8,727.0,5.0
2026.0,18,07d7c7cb4b8705bf524b529fbd8379cb,DK Metcalf,PIT,WR,15.0,128.2,187.2,8.55,12.5,850.0,6.0
2026.0,18,2d46f289ad9f8e7bf480920e753b46b9,Parker Washington,JAC,WR,16.0,126.69999999999999,184.7,7.92,11.5,847.0,5.0
2026.0,18,d56a4cfa1280e57aec40056dc55951a4,Alec Pierce,IND,WR,15.0,136.3,183.3,9.09,12.2,1003.0,6.0
2026.0,18,e1285d1b47a5a58ede8f199cca317da3,Keenan Allen,LAC,WR,17.0,101.69999999999999,182.7,5.98,10.7,777.0,4.0
2026.0,18,5df90e37a36afc26de24a16005a928fe,Ladd McConkey,LAC,WR,16.0,114.9,180.9,7.18,11.3,789.0,6.0
2026.0,18,eded9e2119efcb50e57b4e0a7a527cca,Troy Franklin,DEN,WR,17.0,112.1,177.1,6.59,10.4,709.0,6.0
2026.0,18,4a8b43f10100e25cb05d22e38d841f3f,Jakobi Meyers,JAC,WR,16.0,100.80000000000001,175.8,6.3,11.0,835.0,3.0
2026.0,18,91fd5f4e5f84bff7bd2422f4e0b48b8f,Jauan Jennings,FA,WR,15.0,118.30000000000001,173.3,7.89,11.6,643.0,9.0
2026.0,18,b9a4c5a9bc10b22bc6897836cdac5d9e,Quentin Johnston,LAC,WR,14.0,120.19999999999999,171.2,8.59,12.2,735.0,8.0
2026.0,18,de494dda681296ddeba21ce019be2cd4,DJ Moore,BUF,WR,17.0,120.19999999999999,170.2,7.07,10.0,682.0,6.0
2026.0,18,a099cafb48e2462d2ef435a75171e219,Khalil Shakir,BUF,WR,16.0,94.4,166.4,5.9,10.4,719.0,4.0
2026.0,18,3107651d15a6a173a3ca38757136b677,Romeo Doubs,NE,WR,16.0,110.4,165.4,6.9,10.3,724.0,6.0
2026.0,18,91e2e2da9d5328bd969a7fe7f9f6c951,Tre Tucker,LV,WR,17.0,104.69999999999999,161.7,6.16,9.5,696.0,5.0
2026.0,18,5039318efd167fd47ff18527e818e3bc,Rashid Shaheed,SEA,WR,18.0,97.6,156.6,5.42,8.7,687.0,2.0
2026.0,18,337151674c3e1cc7c03799afad617ab8,Rashee Rice,KC,WR,8.0,97.1,150.1,12.14,18.8,571.0,5.0
2026.0,18,d679fdede71899d56bfd9fdd7b9781d2,Rome Odunze,CHI,WR,12.0,102.1,146.1,8.51,12.2,661.0,6.0
2026.0,18,3a19be88142fd5e02af3c469108976ef,Brian Thomas Jr.,JAC,WR,14.0,90.80000000000001,138.8,6.49,9.9,707.0,2.0
2026.0,18,d4c5394cdc4d35aa10662343833b4883,Hollywood Brown,PHI,WR,16.0,88.69999999999999,137.7,5.54,8.6,587.0,5.0
2026.0,18,a066a849d86e6fa451a89f687d60ab96,Josh Downs,IND,WR,16.0,78.4,136.4,4.9,8.5,566.0,4.0
2026.0,18,e3a1b80dc05ed3a807fc926329de2a98,Jordan Addison,MIN,WR,14.0,93.1,135.1,6.65,9.7,610.0,3.0
2026.0,18,7e53d0c15292c2e48ee8f1c94996a03d,Christian Watson,GB,WR,10.0,97.4,132.4,9.74,13.2,611.0,6.0
2026.0,18,5c12e808aa525dfdd47651d0561a2c07,Jayden Higgins,HOU,WR,17.0,88.5,129.5,5.21,7.6,525.0,6.0
2026.0,18,b2df87b5be15ca1bc353c6a844de0f08,Luther Burden III,CHI,WR,15.0,80.9,127.9,5.39,8.5,652.0,2.0
2026.0,18,d6b117c9f2c49983086d11aa742b1af8,Marvin Harrison Jr.,ARI,WR,12.0,86.8,127.8,7.23,10.7,608.0,4.0
2026.0,18,ca4586e00b4f4d7bad6f756d12ad7d2b,Chimere Dike,TEN,WR,17.0,78.1,126.1,4.59,7.4,423.0,4.0
2026.0,18,38b2015ad0fcda54dc132b7ed2808318,Kayshon Boutte,NE,WR,14.0,91.1,124.1,6.51,8.9,551.0,6.0
2026.0,18,f96158cd23ebe7eb4792c5ef8afc2faa,Jerry Jeudy,CLE,WR,17.0,70.7,120.7,4.16,7.1,602.0,2.0
2026.0,18,90e1545a5290ab68896cd5fde1067d82,Cooper Kupp,SEA,WR,16.0,70.3,117.3,4.39,7.3,593.0,2.0
2026.0,18,892d0dedf8c0cf39d3e29a2497ad8423,Malik Washington,MIA,WR,17.0,70.7,116.7,4.16,6.9,317.0,3.0
