year,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game,yds,td
2020.0,36ecc5e8b4615d27f16f2ca5f93dec80,Albert Okwuegbunam Jr.,LV,TE,4.0,18.1,29.1,4.53,7.3,121.0,1.0
2020.0,a17deb172ec5432005af108782b77af5,Vance McDonald,FA,TE,14.0,9.899999999999999,24.9,0.71,1.8,99.0,0.0
2020.0,74fbfafe6b33ad719568e7f7d86ce971,Maxx Williams,FA,TE,9.0,16.2,24.2,1.8,2.7,102.0,1.0
2020.0,e9f6f966bae0972d58f169d4c36684f1,Geoff Swaim,FA,TE,10.0,14.3,23.3,1.43,2.3,83.0,1.0
2020.0,e6c88fc8597efa017d37d1f06c16501e,Darrell Daniels,FA,TE,12.0,15.2,23.2,1.27,1.9,92.0,1.0
2020.0,52b12e1ccc7b5a54981e684fc0d89cfe,C.J. Uzomah,FA,TE,2.0,14.7,22.7,7.35,11.4,87.0,1.0
2020.0,335e8f8b4fa564d6e695815979fd5e49,Blake Bell,FA,TE,16.0,11.2,22.2,0.7,1.4,110.0,0.0
2020.0,ab58fdf2ab13f70b41c02779828539e0,Troy Fumagalli,FA,TE,8.0,14.0,22.0,1.75,2.8,80.0,1.0
2020.0,0ee81a20795e0f00f9c1806d7534627a,MyCole Pruitt,FA,TE,11.0,16.9,21.9,1.54,2.0,49.0,2.0
2020.0,7f71d4dbbd4e3dedcb256b292063c5be,Lee Smith,FA,TE,10.0,15.5,19.5,1.55,2.0,35.0,2.0
2020.0,9a88b46cb29668edc93b095ef8fec5f1,Stephen Anderson,FA,TE,16.0,10.600000000000001,18.6,0.66,1.2,106.0,0.0
2020.0,5074efa0f49ef3c5dee9f75f4b301a1d,Josh Hill,FA,TE,14.0,10.600000000000001,18.6,0.76,1.3,46.0,1.0
2020.0,15eb28dbe6cd75f9b26dcb8117e80b8c,Ryan Griffin,FA,TE,15.0,8.600000000000001,17.6,0.57,1.2,86.0,0.0
2020.0,82da2afe3355a13753b9f10e465502e9,Virgil Green,FA,TE,6.0,11.0,14.0,1.83,2.3,50.0,1.0
2020.0,477b9d54928cf6d1164aa8b047d44a5e,Luke Stocker,FA,TE,16.0,6.300000000000001,13.3,0.39,0.8,63.0,0.0
2020.0,a7c6068d3827d1fd4a5521362e65812c,Devin Asiasi,FA,TE,8.0,9.9,11.9,1.24,1.5,39.0,1.0
2020.0,de1df0aff65c8aca8261031bdb2bc53a,Demetrius Harris,FA,TE,15.0,4.5,11.5,0.3,0.8,45.0,0.0
2020.0,5359b66a4637837cff0b1481c88fb361,Chris Manhertz,NYG,TE,16.0,5.199999999999999,11.2,0.32,0.7,52.0,0.0
2020.0,3668f069b709cc8c1891d213380e4f14,Dominique Dafney,FA,TE,5.0,8.6,10.6,1.72,2.1,26.0,1.0
2020.0,49d9e2d2fc1a0ec6116dd23724c6917b,Deon Yelder,FA,TE,14.0,3.5999999999999996,10.6,0.26,0.8,36.0,0.0
2020.0,7a1cb001e9c9c2906d8e395020cdc43c,Cethan Carter,FA,TE,15.0,5.300000000000001,10.3,0.35,0.7,53.0,0.0
